t,S_a,I_a,S_h,I_h,R_h
1.421421421421421473e+04,4.989145038028001727e+04,7.186250970351622982e+02,2.715849191021833685e+05,4.376150270170690959e+01,3.460335372112996993e+04
1.431431431431431520e+04,4.989136844427172764e+04,7.194977080995209917e+02,2.727463442102571717e+05,4.384428552690569347e+01,3.490579547334826930e+04
1.441441441441441566e+04,4.989128904704692832e+04,7.203441016506097867e+02,2.739017785078226589e+05,4.392603528399355639e+01,3.520787766484626627e+04
1.451451451451451612e+04,4.989121211098572530e+04,7.211650297210645704e+02,2.750512634668029496e+05,4.400677272191343548e+01,3.550959148156393348e+04
1.461461461461461477e+04,4.989113756081288011e+04,7.219612253009904634e+02,2.761948400268013356e+05,4.408651811349714222e+01,3.581092835328341607e+04
1.471471471471471523e+04,4.989106532344847074e+04,7.227334020977554019e+02,2.773325486218925798e+05,4.416529120947777898e+01,3.611187993880151771e+04
1.481481481481481569e+04,4.989099532800527231e+04,7.234822552543432721e+02,2.784644291802988155e+05,4.424311130692426985e+01,3.641243812625706778e+04
1.491491491491491615e+04,4.989092750572771911e+04,7.242084616895047020e+02,2.795905211348607554e+05,4.431999724825747222e+01,3.671259502743827761e+04
1.501501501501501662e+04,4.989086178987758467e+04,7.249126802594388437e+02,2.807108634416933055e+05,4.439596743129340695e+01,3.701234296749067289e+04
1.511511511511511708e+04,4.989079811576654174e+04,7.255955523906945928e+02,2.818254945757255191e+05,4.447103980866559425e+01,3.731167448760324623e+04
1.521521521521521572e+04,4.989073642060218117e+04,7.262577022173229579e+02,2.829344525553998537e+05,4.454523191546520167e+01,3.761058233131580346e+04
1.531531531531531618e+04,4.989067664352023712e+04,7.268997370902441162e+02,2.840377749372636317e+05,4.461856086478330496e+01,3.790905944773805822e+04
1.541541541541541665e+04,4.989061872549792315e+04,7.275222479030275053e+02,2.851354988305573352e+05,4.469104336182589066e+01,3.820709898353855533e+04
1.551551551551551711e+04,4.989056260921381181e+04,7.281258093901013808e+02,2.862276609217594960e+05,4.476269572238345518e+01,3.850469426934561488e+04
1.561561561561561757e+04,4.989050823907562881e+04,7.287109805605390420e+02,2.873142974687143578e+05,4.483353387406182833e+01,3.880183882322256250e+04
1.571571571571571621e+04,4.989045556125513394e+04,7.292783050218430390e+02,2.883954442970537348e+05,4.490357335436625874e+01,3.909852635285587166e+04
1.581581581581581668e+04,4.989040452363873192e+04,7.298283113416026708e+02,2.894711368086197181e+05,4.497282931965860797e+01,3.939475075100641698e+04
1.591591591591591714e+04,4.989035507544555003e+04,7.303615134606362744e+02,2.905414100401948090e+05,4.504131659491571327e+01,3.969050606271816650e+04
1.601601601601601760e+04,4.989030716748795385e+04,7.308784110066430912e+02,2.916062986250160611e+05,4.510904964464282330e+01,3.998578650710318470e+04
1.611611611611611806e+04,4.989026075217285688e+04,7.313794895084263317e+02,2.926658367938991287e+05,4.517604257862617345e+01,4.028058647688566271e+04
1.621621621621621671e+04,4.989021578354113444e+04,7.318652206534336528e+02,2.937200583704573219e+05,4.524230915193983549e+01,4.057490054126201721e+04
1.631631631631631717e+04,4.989017221665490797e+04,7.323360632665122694e+02,2.947689968633180833e+05,4.530786283155612892e+01,4.086872339432816807e+04
1.641641641641641763e+04,4.989013000805179036e+04,7.327924631086808631e+02,2.958126853996424470e+05,4.537271675398547899e+01,4.116204989256473345e+04
1.651651651651651628e+04,4.989008911566434108e+04,7.332348530932569020e+02,2.968511567369113327e+05,4.543688373491291088e+01,4.145487504839721805e+04
1.661661661661661856e+04,4.989004949892358127e+04,7.336636532264139987e+02,2.978844432468065061e+05,4.550037625895085114e+01,4.174719403941503697e+04
1.671671671671671720e+04,4.989001111813291936e+04,7.340792725259811959e+02,2.989125770162016852e+05,4.556320656155486404e+01,4.203900215189014125e+04
1.681681681681681948e+04,4.988997393491482944e+04,7.344821080315751942e+02,2.999355897759632790e+05,4.562538657542954468e+01,4.233029482089688827e+04
