t,S_a,I_a,S_h,I_h,R_h
1.771771771771771819e+04,4.995182211198697769e+04,3.183432903272807266e+02,3.292124924214662751e+05,3.525733189787827371e+01,3.346801301170017541e+04
1.781781781781782047e+04,4.995176433883408754e+04,3.188279236518213793e+02,3.302994508561497787e+05,3.531696502586199671e+01,3.368981314938348078e+04
1.791791791791791911e+04,4.995170757059391326e+04,3.193044440694124546e+02,3.313811143883795012e+05,3.537601273440580485e+01,3.391133970634413708e+04
1.801801801801801776e+04,4.995165179143727437e+04,3.197729683045680531e+02,3.324575139839950134e+05,3.543448211463321940e+01,3.413258793903021433e+04
1.811811811811812004e+04,4.995159698579207907e+04,3.202336114236590561e+02,3.335286803666024935e+05,3.549238016406546592e+01,3.435355319125491951e+04
1.821821821821821868e+04,4.995154313824904239e+04,3.206864877290328764e+02,3.345946440158589394e+05,3.554971380627953437e+01,3.457423089498539048e+04
1.831831831831832096e+04,4.995149023358430713e+04,3.211317105244109484e+02,3.356554351707114256e+05,3.560648988646605062e+01,3.479461656879346265e+04
1.841841841841841961e+04,4.995143825670361548e+04,3.215693926623060861e+02,3.367110838280661847e+05,3.566271518098164961e+01,3.501470581854584452e+04
1.851851851851851825e+04,4.995138719277114433e+04,3.219996452243150884e+02,3.377616197535599931e+05,3.571839637631867959e+01,3.523449433209872950e+04
1.861861861861862053e+04,4.995133702711455408e+04,3.224225784637741867e+02,3.388070724776674178e+05,3.577354008513137984e+01,3.545397788125716761e+04
1.871871871871871917e+04,4.995128774525036715e+04,3.228383015323095719e+02,3.398474712996904855e+05,3.582815284234284547e+01,3.567315231982932164e+04
1.881881881881882146e+04,4.995123933283438237e+04,3.232469230082240870e+02,3.408828452853281051e+05,3.588224111643770442e+01,3.589201358491535211e+04
1.891891891891892010e+04,4.995119177575645881e+04,3.236485498385542314e+02,3.419132232780278428e+05,3.593581128889849197e+01,3.611055769121404592e+04
1.901901901901901874e+04,4.995114506008207536e+04,3.240432879648489006e+02,3.429386338957095868e+05,3.598886966745406824e+01,3.632878073274038616e+04
1.911911911911912102e+04,4.995109917206029058e+04,3.244312422194734040e+02,3.439591055338265141e+05,3.604142248467901766e+01,3.654667888133229280e+04
1.921921921921921967e+04,4.995105409809601406e+04,3.248125166347977597e+02,3.449746663639653125e+05,3.609347590288682284e+01,3.676424838744520093e+04
1.931931931931932195e+04,4.995100982479432423e+04,3.251872139095898433e+02,3.459853443418955430e+05,3.614503600696024677e+01,3.698148557609187992e+04
1.941941941941942059e+04,4.995096633895143896e+04,3.255554354987791044e+02,3.469911672086829785e+05,3.619610880622724380e+01,3.719838684634396486e+04
1.951951951951951924e+04,4.995092362753950874e+04,3.259172817741722952e+02,3.479921624910155660e+05,3.624670023736648261e+01,3.741494867123899166e+04
1.961961961961962152e+04,4.995088167769504798e+04,3.262728521490500384e+02,3.489883575012977235e+05,3.629681616775732778e+01,3.763116759782013105e+04
1.971971971971972016e+04,4.995084047673204623e+04,3.266222449047832583e+02,3.499797793421594542e+05,3.634646239282117364e+01,3.784704024488345021e+04
1.981981981981982244e+04,4.995080001216164237e+04,3.269655569393480619e+02,3.509664549120625597e+05,3.639564463187880961e+01,3.806256330015619460e+04
1.991991991991992109e+04,4.995076027166418498e+04,3.273028840850186612e+02,3.519484109029081883e+05,3.644436853482218197e+01,3.827773352162179799e+04
2.002002002002001973e+04,4.995072124308811181e+04,3.276343211120006345e+02,3.529256738016628660e+05,3.649263968198407326e+01,3.849254773676938203e+04
2.012012012012012201e+04,4.995068291444387432e+04,3.279599617878628806e+02,3.538982698913599597e+05,3.654046358540621497e+01,3.870700284216357250e+04
2.022022022022022065e+04,4.995064527393795288e+04,3.282798984322303113e+02,3.548662252609289717e+05,3.658784568417832617e+01,3.892109579840536753e+04
2.032032032032032294e+04,4.995060830994024582e+04,3.285942223116690570e+02,3.558295658003306598e+05,3.663479134964676120e+01,3.913482363276521210e+04
2.042042042042042158e+04,4.995057201098876976e+04,3.289030235702724099e+02,3.567883172036077594e+05,3.668130588543144910e+01,3.934818343768517661e+04
2.052052052052052022e+04,4.995053636577524594e+04,3.292063914243391309e+02,3.577425049666538835e+05,3.672739453139875820e+01,3.956117237204715639e+04
2.062062062062062250e+04,4.995050136317953729e+04,3.295044136347602262e+02,3.586921544007544289e+05,3.677306245511176996e+01,3.977378765416920942e+04
2.072072072072072115e+04,4.995046699224047188e+04,3.297971769191916565e+02,3.596372906256054994e+05,3.681831475957390865e+01,3.998602656556446891e+04
2.082082082082082343e+04,4.995043324216156179e+04,3.300847668479895560e+02,3.605779385735805845e+05,3.686315648199265382e+01,4.019788644880188076e+04
2.092092092092092207e+04,4.995040010228136089e+04,3.303672681785073451e+02,3.615141229829671793e+05,3.690759259845931695e+01,4.040936471116756002e+04
2.102102102102102072e+04,4.995036756213443732e+04,3.306447641207332140e+02,3.624458684192582150e+05,3.695162801555428445e+01,4.062045881356020254e+04
2.112112112112112300e+04,4.995033561140274105e+04,3.309173368955750334e+02,3.633731992625085404e+05,3.699526757776720842e+01,4.083116627724735736e+04
2.122122122122122164e+04,4.995030423992658325e+04,3.311850675905391199e+02,3.642961397131368285e+05,3.703851606632111526e+01,4.104148468091360701e+04
2.132132132132132392e+04,4.995027343770059088e+04,3.314480362318083735e+02,3.652147137916503707e+05,3.708137819958862735e+01,4.125141166090872866e+04
2.142142142142142256e+04,4.995024319486480817e+04,3.317063219865637507e+02,3.661289453342283377e+05,3.712385863317589241e+01,4.146094491367846786e+04
2.152152152152152485e+04,4.995021350172739039e+04,3.319600025224809201e+02,3.670388580151047790e+05,3.716596196215665060e+01,4.167008218407120148e+04
2.162162162162162349e+04,4.995018434874283412e+04,3.322091545533388626e+02,3.679444753312364919e+05,3.720769272028039154e+01,4.187882127352149837e+04
2.172172172172172213e+04,4.995015572651609546e+04,3.324538536939223832e+02,3.688458206089333980e+05,3.724905538094262170e+01,4.208716003665892640e+04
2.182182182182182441e+04,4.995012762579048285e+04,3.326941745990254162e+02,3.697429170003547915e+05,3.729005436562119513e+01,4.229509638326066488e+04
2.192192192192192306e+04,4.995010003744853020e+04,3.329301909371744159e+02,3.706357874866015627e+05,3.733069404275736503e+01,4.250262827672427375e+04
2.202202202202202534e+04,4.995007295253712073e+04,3.331619750562483659e+02,3.715244548931041500e+05,3.737097870882436723e+01,4.270975372605360462e+04
2.212212212212212398e+04,4.995004636223708803e+04,3.333895983545783110e+02,3.724089418768560863e+05,3.741091261018200953e+01,4.291647079269803362e+04
2.222222222222222263e+04,4.995002025787024468e+04,3.336131311770176353e+02,3.732892709326055483e+05,3.745049993746830097e+01,4.312277758739043202e+04
2.232232232232232491e+04,4.994999463089670462e+04,3.338326429819778127e+02,3.741654643865419202e+05,3.748974479903986889e+01,4.332867227360202378e+04
2.242242242242242355e+04,4.994996947291461402e+04,3.340482021349239403e+02,3.750375444088046206e+05,3.752865125760568077e+01,4.353415306102067552e+04
2.252252252252252583e+04,4.994994477565863781e+04,3.342598758915969483e+02,3.759055330164326006e+05,3.756722333476395903e+01,4.373921820409655629e+04
2.262262262262262448e+04,4.994992053099740588e+04,3.344677305531200773e+02,3.767694520676514949e+05,3.760546498646074554e+01,4.394386600517838815e+04
2.272272272272272312e+04,4.994989673093219608e+04,3.346718314175983551e+02,3.776293232664166135e+05,3.764338011287652819e+01,4.414809481221449096e+04
2.282282282282282540e+04,4.994987336758233141e+04,3.348722429328599901e+02,3.784851681532139191e+05,3.768097264171856864e+01,4.435190302367849654e+04
2.292292292292292404e+04,4.994985043320799741e+04,3.350690284302294231e+02,3.793370081273742835e+05,3.771824637247039647e+01,4.455528907696088572e+04
2.302302302302302633e+04,4.994982792019450426e+04,3.352622502894021181e+02,3.801848644369625254e+05,3.775520506660678421e+01,4.475825145377355511e+04
2.312312312312312497e+04,4.994980582105076610e+04,3.354519699451814745e+02,3.810287581805603113e+05,3.779185244758321005e+01,4.496078867931362038e+04
2.322322322322322361e+04,4.994978412840940291e+04,3.356382478869159627e+02,3.818687103094168124e+05,3.782819218585471077e+01,4.516289932124086772e+04
2.332332332332332589e+04,4.994976283503430750e+04,3.358211437715462466e+02,3.827047416181101580e+05,3.786422777371558368e+01,4.536458199478611641e+04
2.342342342342342454e+04,4.994974193379752978e+04,3.360007161917224607e+02,3.835368727714772685e+05,3.789996281711431436e+01,4.556583534846927796e+04
2.352352352352352682e+04,4.994972141769414884e+04,3.361770228716380302e+02,3.843651242865707609e+05,3.793540081041526690e+01,4.576665807386163942e+04
2.362362362362362546e+04,4.994970127983627026e+04,3.363501206274783044e+02,3.851895165393658099e+05,3.797054519571035769e+01,4.596704890211578459e+04
